,state,year,quater,district,registered_users,app_opens
148,andhra-pradesh,2019,3,srikakulam district,437939,11813195
149,andhra-pradesh,2019,3,visakhapatnam district,1460464,54836001
150,andhra-pradesh,2019,3,prakasam district,598568,16267041
151,andhra-pradesh,2019,3,anantapur district,773656,22845084
152,andhra-pradesh,2019,3,kurnool district,755024,22827473
153,andhra-pradesh,2019,3,guntur district,1026418,28477132
154,andhra-pradesh,2019,3,krishna district,1066546,30077671
155,andhra-pradesh,2019,3,spsr nellore district,619592,17768733
156,andhra-pradesh,2019,3,vizianagaram district,394375,13065845
157,andhra-pradesh,2019,3,ysr district,574109,15833900
158,andhra-pradesh,2019,3,west godavari district,662102,14227407
159,andhra-pradesh,2019,3,chittoor district,1032733,34638738
160,andhra-pradesh,2019,4,east godavari district,1195228,38299189
161,andhra-pradesh,2019,4,srikakulam district,496266,16353822
162,andhra-pradesh,2019,4,visakhapatnam district,1620235,70749983
163,andhra-pradesh,2019,4,prakasam district,673522,21639748
164,andhra-pradesh,2019,4,anantapur district,873033,30278539
165,andhra-pradesh,2019,4,kurnool district,846885,29676997
166,andhra-pradesh,2019,4,guntur district,1158708,37846179
167,andhra-pradesh,2019,4,krishna district,1199971,39407473
168,andhra-pradesh,2019,4,spsr nellore district,697154,23608360
169,andhra-pradesh,2019,4,vizianagaram district,443810,17515311
170,andhra-pradesh,2019,4,ysr district,646642,21543798
171,andhra-pradesh,2019,4,west godavari district,750078,19393528
172,andhra-pradesh,2019,4,chittoor district,1156351,44888591
173,andhra-pradesh,2020,1,east godavari district,1329664,46142746
174,andhra-pradesh,2020,1,srikakulam district,552007,20975989
175,andhra-pradesh,2020,1,visakhapatnam district,1763581,77558624
176,andhra-pradesh,2020,1,prakasam district,748655,26870693
177,andhra-pradesh,2020,1,anantapur district,971850,36900103
178,andhra-pradesh,2020,1,kurnool district,936293,34198350
179,andhra-pradesh,2020,1,guntur district,1289678,45282758
180,andhra-pradesh,2020,1,krishna district,1331602,46079408
181,andhra-pradesh,2020,1,spsr nellore district,775440,28879364
182,andhra-pradesh,2020,1,vizianagaram district,490683,21562104
183,andhra-pradesh,2020,1,ysr district,717865,26166193
184,andhra-pradesh,2020,1,west godavari district,843835,24542868
185,andhra-pradesh,2020,1,chittoor district,1270907,51354573
186,andhra-pradesh,2020,2,east godavari district,1459116,45884498
187,andhra-pradesh,2020,2,srikakulam district,608002,23808009
188,andhra-pradesh,2020,2,visakhapatnam district,1904719,69684456
189,andhra-pradesh,2020,2,prakasam district,830709,32255276
190,andhra-pradesh,2020,2,anantapur district,1076953,39704703
191,andhra-pradesh,2020,2,kurnool district,1035093,36268390
192,andhra-pradesh,2020,2,guntur district,1426271,44267596
193,andhra-pradesh,2020,2,krishna district,1459041,41234166
194,andhra-pradesh,2020,2,spsr nellore district,854459,30816403
195,andhra-pradesh,2020,2,vizianagaram district,537798,24370380
196,andhra-pradesh,2020,2,ysr district,796769,29644037
197,andhra-pradesh,2020,2,west godavari district,944829,26583613
198,andhra-pradesh,2020,2,chittoor district,1385916,49820171
199,andhra-pradesh,2020,3,east godavari district,1601940,64292857
200,andhra-pradesh,2020,3,srikakulam district,667858,31794753
201,andhra-pradesh,2020,3,visakhapatnam district,2058346,102589371
202,andhra-pradesh,2020,3,prakasam district,915240,44970519
203,andhra-pradesh,2020,3,anantapur district,1186851,55714787
204,andhra-pradesh,2020,3,kurnool district,1132240,49164718
205,andhra-pradesh,2020,3,guntur district,1567595,62427501
206,andhra-pradesh,2020,3,krishna district,1599289,61028114
207,andhra-pradesh,2020,3,spsr nellore district,937176,43951448
208,andhra-pradesh,2020,3,vizianagaram district,587784,31199437
209,andhra-pradesh,2020,3,ysr district,877909,41578067
210,andhra-pradesh,2020,3,west godavari district,1053674,38126238
211,andhra-pradesh,2020,3,chittoor district,1506503,69462572
212,andhra-pradesh,2020,4,east godavari district,1746280,82605352
213,andhra-pradesh,2020,4,srikakulam district,726761,36770992
214,andhra-pradesh,2020,4,visakhapatnam district,2209658,124730170
215,andhra-pradesh,2020,4,prakasam district,999462,52839846
216,andhra-pradesh,2020,4,anantapur district,1295872,69562398
217,andhra-pradesh,2020,4,kurnool district,1230466,60615045
218,andhra-pradesh,2020,4,guntur district,1712940,81291172
219,andhra-pradesh,2020,4,krishna district,1744028,81787771
220,andhra-pradesh,2020,4,spsr nellore district,1022944,54765443
221,andhra-pradesh,2020,4,vizianagaram district,634462,35110885
222,andhra-pradesh,2020,4,ysr district,959182,49596303
223,andhra-pradesh,2020,4,west godavari district,1163179,51170162
224,andhra-pradesh,2020,4,chittoor district,1631331,88232999
225,andhra-pradesh,2021,1,east godavari district,1878769,91478749
226,andhra-pradesh,2021,1,srikakulam district,782604,40590058
227,andhra-pradesh,2021,1,visakhapatnam district,2368081,135908324
228,andhra-pradesh,2021,1,prakasam district,1075936,56911479
229,andhra-pradesh,2021,1,anantapur district,1394849,73375049
230,andhra-pradesh,2021,1,kurnool district,1323411,65326230
231,andhra-pradesh,2021,1,guntur district,1843237,92731167
232,andhra-pradesh,2021,1,krishna district,1876458,92941553
233,andhra-pradesh,2021,1,spsr nellore district,1100541,60691988
234,andhra-pradesh,2021,1,vizianagaram district,681621,37752539
235,andhra-pradesh,2021,1,ysr district,1032689,53525815
236,andhra-pradesh,2021,1,west godavari district,1254117,57392671
237,andhra-pradesh,2021,1,chittoor district,1751420,99083825
238,andhra-pradesh,2021,2,east godavari district,2006272,84705076
239,andhra-pradesh,2021,2,srikakulam district,837958,43740255
240,andhra-pradesh,2021,2,visakhapatnam district,2526830,114313154
241,andhra-pradesh,2021,2,prakasam district,1151232,76850749
